genes5,genes4,genes3,genes2,genes1,Label.1,cell_id,Label.2,Label.3,Probability.1,Probability.2,Probability.3,Test.Accuracy,Test.Loss,True_cluster,x_centroid,y_centroid,transcript_counts,control_probe_counts,control_codeword_counts,total_counts,cell_area,nucleus_area,cell_type_1,cell_type_2,cell_type_3,cell_type_4,cell_type_5,majority_cell_type,status,Title,Title.1
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,810,8,1,0.30844203,0.22236438,0.14845102,0.163240135,2.950269461,3,835.7848083,2094.917969,284,0,0,284,449.8917188,39.06015625,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,811,6,1,0.23663421,0.15772451,0.14417504,0.163240135,2.950269461,3,843.3594788,2372.580969,323,0,0,323,265.4735938,63.58,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,819,6,1,0.19964577,0.19741789,0.14111397,0.163240135,2.950269461,3,817.249942,2548.057617,159,0,0,159,311.3071875,14.1790625,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,825,1,10,0.15279226,0.136322,0.07036594,0.163240135,2.950269461,9,841.8078552,2064.908362,77,0,0,77,91.6671875,31.74484375,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,831,1,8,0.41994897,0.19037874,0.10194206,0.163240135,2.950269461,3,835.7930573,2157.254346,349,0,0,349,629.9296875,40.68578125,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,845,1,5,0.31847724,0.18168455,0.11685389,0.163240135,2.950269461,3,851.8267426,1983.945654,197,0,0,198,237.8379688,36.7571875,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,17469,6,1,0.19094065,0.18667607,0.12241867,0.163240135,2.950269461,12,3256.290234,2319.042175,1000,1,0,1002,448.1757813,106.8396875,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,223,8,5,0.3187242,0.19232117,0.09364815,0.163240135,2.950269461,6,1653.935852,2466.549963,83,0,0,83,103.6335938,10.9278125,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,22365,1,8,0.3433503,0.19519939,0.1777736,0.163240135,2.950269461,8,1500.85907,1932.809937,242,0,0,242,287.3292188,14.991875,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,22371,8,1,0.26327983,0.2603145,0.14538923,0.163240135,2.950269461,8,1434.301227,1949.182813,223,0,0,224,240.9989063,41.001875,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,33117,1,8,0.27946195,0.18296814,0.14948617,0.163240135,2.950269461,1,2358.923071,1441.402026,334,1,0,336,372.5390625,31.92546875,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,244,6,1,0.28154093,0.19420272,0.11690801,0.163240135,2.950269461,6,1645.085663,2535.681567,196,0,0,196,189.6110938,17.56578125,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,11100,1,12,0.15381722,0.14280325,0.06398235,0.163240135,2.950269461,10,4806.175171,1906.699207,32,0,0,32,28.31296875,14.45,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,253,8,1,0.3965101,0.24745695,0.10262152,0.163240135,2.950269461,8,2144.572827,1706.933954,449,0,0,449,475.76625,95.95703125,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,259,8,1,0.30373123,0.27055976,0.11138068,0.163240135,2.950269461,8,2017.81969,1688.626477,193,0,0,193,170.14875,11.78578125,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,263,8,1,0.23600766,0.18752934,0.1383624,0.163240135,2.950269461,10,2093.909631,1696.109631,415,0,0,415,342.7810938,75.681875,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,33145,8,5,0.55667496,0.10483624,0.07822532,0.163240135,2.950269461,3,2319.740271,1159.137488,50,0,0,50,67.86984375,15.12734375,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,272,8,1,0.32889926,0.23090132,0.09178513,0.163240135,2.950269461,8,1950.901697,1686.156683,275,0,0,275,289.6321875,41.85984375,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,33152,8,1,0.32921487,0.25432235,0.16402388,0.163240135,2.950269461,3,2344.917371,1184.046472,172,0,0,173,352.6251563,46.73671875,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,22414,6,8,0.21320723,0.15256621,0.13309203,0.163240135,2.950269461,8,1257.62937,2222.507825,403,0,0,404,458.606875,52.87796875,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,287,8,5,0.31908417,0.28105026,0.132983,0.163240135,2.950269461,5,2220.743701,1692.495471,241,0,0,241,396.6073438,54.32296875,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,8044,8,1,0.23459548,0.16950081,0.1301768,0.163240135,2.950269461,9,4291.362793,595.920401,148,0,0,148,307.965625,30.29984375,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,2784,5,8,0.3338933,0.15881191,0.09917514,0.163240135,2.950269461,5,5328.264429,1706.330487,72,0,0,72,110.1360938,11.42453125,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,2786,6,1,0.22180778,0.12442894,0.085315935,0.163240135,2.950269461,5,5287.021997,1706.03197,122,0,0,122,162.8334375,45.4271875,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,23037,8,1,0.4054649,0.21385722,0.09636496,0.163240135,2.950269461,8,1575.603247,1728.561743,217,0,0,218,136.010625,33.64140625,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,6312,1,8,0.16728921,0.10723358,0.07943242,0.163240135,2.950269461,2,2108.948987,2882.585742,192,1,0,193,111.7617188,46.420625,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,17572,6,1,0.18918589,0.15220502,0.15214904,0.163240135,2.950269461,2,3210.156152,1915.854346,166,0,0,167,214.3115625,17.0690625,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,23042,5,1,0.27922633,0.23585625,0.17273268,0.163240135,2.950269461,8,1601.877087,1743.228809,254,0,0,254,387.5760938,14.991875,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,17576,6,1,0.1821657,0.17770684,0.16664249,0.163240135,2.950269461,4,3224.23988,1952.381311,366,0,0,366,371.5907813,43.4403125,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,11793,1,4,0.1425258,0.13098237,0.11006082,0.163240135,2.950269461,10,4652.070752,1810.36947,81,0,0,81,133.8882813,9.07640625,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,17582,6,1,0.396225,0.12790045,0.093224086,0.163240135,2.950269461,5,3221.543787,1993.643665,221,0,0,222,184.3729688,21.494375,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,11796,10,1,0.19104488,0.16687575,0.121376924,0.163240135,2.950269461,10,4646.928003,1903.937122,119,0,0,119,114.155,25.51328125,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,6360,1,10,0.25874156,0.12156677,0.11222144,0.163240135,2.950269461,4,2211.444958,2635.317505,87,0,0,87,79.88140625,11.6503125,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,23084,8,6,0.41122475,0.28968117,0.07090114,0.163240135,2.950269461,1,927.4491943,2046.381226,218,0,0,218,159.7628125,30.57078125,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,23086,8,6,0.28461894,0.23110618,0.11812134,0.163240135,2.950269461,1,913.1177917,2047.065625,200,0,0,200,321.87375,8.26359375,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,23087,8,1,0.43538857,0.13577548,0.12446504,0.163240135,2.950269461,1,973.0237,2049.614795,358,0,0,358,445.1051563,65.928125,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,981,1,8,0.19875833,0.118662536,0.11099455,0.163240135,2.950269461,10,4494.274146,1706.642389,150,0,0,150,285.8390625,9.43765625,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,28556,8,1,0.44939035,0.13285828,0.12907593,0.163240135,2.950269461,3,3721.763184,1056.152808,257,0,0,257,490.5775,20.54609375,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,6382,1,8,0.19686484,0.17673789,0.13060309,0.163240135,2.950269461,2,2288.83999,2567.340332,274,0,0,274,422.3464063,35.3121875,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,17622,1,6,0.18959993,0.181637,0.09921938,0.163240135,2.950269461,21,3279.878564,2101.601758,112,0,0,112,338.8073438,28.13234375,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,1015,1,6,0.23369434,0.14191602,0.098030776,0.163240135,2.950269461,19,4788.005176,1699.584546,139,0,0,139,271.479375,10.295625,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,1023,1,6,0.21352117,0.18483053,0.15023503,0.163240135,2.950269461,1,4852.550391,1706.646228,108,0,0,108,323.2735938,18.83015625,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,23101,8,1,0.19626753,0.1838607,0.136763,0.163240135,2.950269461,3,878.6271118,2084.477661,162,1,0,163,276.3110938,45.02078125,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,23110,8,6,0.30012804,0.26701742,0.0914338,0.163240135,2.950269461,3,888.1825562,2112.098926,436,0,0,436,454.81375,91.53171875,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,23111,8,1,0.33317974,0.14329438,0.13972348,0.163240135,2.950269461,3,912.4194885,2114.93053,489,0,0,489,723.3128125,33.28015625,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,23113,8,1,0.39908102,0.20389086,0.09860272,0.163240135,2.950269461,3,1051.815131,2094.565808,589,0,0,589,654.6301563,25.5584375,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,23116,6,8,0.32628807,0.119010784,0.11156216,0.163240135,2.950269461,26,1035.227783,2059.863562,43,0,0,43,77.488125,7.1346875,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,8167,8,1,0.39457604,0.18759857,0.12035887,0.163240135,2.950269461,15,670.7128265,2124.691211,269,0,0,269,690.9809375,76.99140625,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,23129,8,5,0.43701142,0.18533881,0.098544724,0.163240135,2.950269461,5,1162.148181,1790.076965,287,0,0,288,337.6332813,14.04359375,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,23132,8,1,0.42562214,0.22235121,0.098059006,0.163240135,2.950269461,3,1180.423077,1761.042285,254,0,0,254,429.1198438,30.57078125,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,23134,8,1,0.21081696,0.1897322,0.16179097,0.163240135,2.950269461,1,1188.251025,1776.587158,192,0,0,192,175.8384375,19.73328125,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,23141,1,8,0.3334897,0.18884385,0.120156266,0.163240135,2.950269461,3,1236.449615,1724.629248,575,0,0,577,613.4476563,68.27625,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,11893,1,8,0.2029994,0.15007912,0.12318905,0.163240135,2.950269461,15,4931.846094,2276.107422,39,0,0,39,72.9725,16.39171875,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,11900,1,6,0.1787919,0.14525937,0.13660899,0.163240135,2.950269461,2,4899.470557,2245.011865,91,0,0,91,176.470625,46.37546875,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,23154,8,1,0.24485183,0.18361755,0.15528907,0.163240135,2.950269461,23,1284.329456,1746.361523,240,0,0,240,189.9271875,43.9821875,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,17728,8,10,0.21217074,0.19249919,0.1169296,0.163240135,2.950269461,2,2985.764661,2230.272168,44,0,0,44,63.3090625,24.33921875,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,1099,1,6,0.16649742,0.15023424,0.1422143,0.163240135,2.950269461,10,4943.568042,1679.118555,252,0,0,252,257.5260938,31.3384375,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,34007,8,1,0.32585502,0.26850748,0.08028128,0.163240135,2.950269461,18,2145.490686,1239.353436,463,0,0,465,383.105625,80.24265625,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,1101,6,1,0.16952236,0.16307993,0.11163132,0.163240135,2.950269461,6,4118.938965,1587.812866,102,0,0,103,158.58875,4.92203125,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,1124,8,1,0.290475,0.18483631,0.10935339,0.163240135,2.950269461,28,4138.787793,1658.76535,34,0,0,34,59.425625,8.850625,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,28684,1,8,0.31802434,0.13648301,0.10862463,0.163240135,2.950269461,6,3570.307544,1309.262927,295,1,0,296,363.0110938,48.27203125,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,23175,8,1,0.38466704,0.23787275,0.09398662,0.163240135,2.950269461,3,1350.340381,1793.243713,300,0,0,301,476.7145313,60.4190625,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,34027,8,1,0.34770834,0.3253545,0.09688065,0.163240135,2.950269461,3,2176.955005,1277.750049,599,0,0,600,630.2909375,75.320625,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,23188,1,5,0.24076262,0.22005932,0.09806085,0.163240135,2.950269461,3,1019.227094,2344.321167,200,0,0,200,493.7835938,19.9590625,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,1140,6,4,0.12591904,0.11684918,0.115664996,0.163240135,2.950269461,4,4235.546265,1699.202191,405,1,0,407,446.4598438,59.01921875,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,23197,6,1,0.24773318,0.1827811,0.10534397,0.163240135,2.950269461,3,887.3344238,2371.773718,307,0,0,307,355.5603125,13.2759375,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,34065,1,8,0.46399456,0.16132855,0.13685495,0.163240135,2.950269461,5,2187.683765,1161.365729,168,0,0,168,248.4496875,6.5025,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,23210,1,6,0.25851712,0.18833128,0.08243444,0.163240135,2.950269461,23,865.0805481,2171.578381,806,1,0,807,1004.455625,85.75171875,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,1169,1,6,0.24531938,0.15090558,0.07874584,0.163240135,2.950269461,5,4952.695996,1062.845935,83,0,0,83,190.74,9.52796875,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,1175,10,6,0.1764386,0.12852697,0.119458154,0.163240135,2.950269461,3,4959.332886,1086.809357,382,0,0,382,386.89875,66.51515625,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,11990,9,10,0.15381156,0.11375351,0.10392436,0.163240135,2.950269461,16,4426.96228,1946.234583,144,0,0,144,85.20984375,30.4353125,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,1194,8,1,0.25769702,0.12133433,0.11350047,0.163240135,2.950269461,6,4118.283203,1197.944055,102,0,0,102,73.19828125,22.3975,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,23226,1,6,0.2584185,0.2107248,0.0945017,0.163240135,2.950269461,3,926.2791992,2185.799487,459,0,0,459,623.15625,47.91078125,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,1199,6,8,0.25519398,0.22592066,0.1335571,0.163240135,2.950269461,3,4933.517456,1221.550024,383,0,0,383,373.5776563,18.19796875,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,1200,1,8,0.25992185,0.21059765,0.10013235,0.163240135,2.950269461,5,4117.016919,1213.013916,234,0,0,235,266.3315625,84.30671875,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,17849,6,8,0.19477403,0.14941275,0.14309406,0.163240135,2.950269461,4,3193.688232,1899.712854,277,0,0,277,286.8776563,37.8409375,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Pdzrn3,Calb1,Lamp5,Rasgrf2,Gsg1l,3,23249,1,6,0.25508302,0.21055728,0.12436227,0.163240135,2.950269461,3,996.2499084,2182.037573,248,0,0,248,453.8654688,48.90421875,Neurons,Neurons,Neurons,Neurons,Neurons,Neurons,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
